1, None, None, (100.0.114.62)
2, None, None, (100.0.114.62)
3, None, None, (100.0.114.62)
4, None, None, (100.0.114.62)
5, None, None, (100.0.114.62)
6, None, None, (100.0.114.62)
7, None, None, (100.0.114.62)
8, None, None, (100.0.114.62)
9, None, None, (100.0.114.62)
10, None, None, (100.0.114.62)
11, None, None, (100.0.114.62)
12, None, None, (100.0.114.62)
13, None, None, (100.0.114.62)
14, None, None, (100.0.114.62)
15, None, None, (100.0.114.62)
16, None, None, (100.0.114.62)
17, None, None, (100.0.114.62)
18, None, None, (100.0.114.62)
19, None, None, (100.0.114.62)
20, None, None, (100.0.114.62)
21, None, None, (100.0.114.62)
22, None, None, (100.0.114.62)
23, None, None, (100.0.114.62)
24, None, None, (100.0.114.62)
25, None, None, (100.0.114.62)
26, None, None, (100.0.114.62)
27, None, None, (100.0.114.62)
28, None, None, (100.0.114.62)
29, None, None, (100.0.114.62)
30, None, None, (100.0.114.62)
31, None, None, (100.0.114.62)
32, None, None, (100.0.114.62)
33, None, None, (100.0.114.62)
34, None, None, (100.0.114.62)
35, None, None, (100.0.114.62)
36, None, None, (100.0.114.62)
37, None, None, (100.0.114.62)
38, None, None, (100.0.114.62)
39, None, None, (100.0.114.62)
40, None, None, (100.0.114.62)
1, None, None, (101.118.38.48)
2, None, None, (101.118.38.48)
3, None, None, (101.118.38.48)
4, None, None, (101.118.38.48)
5, None, None, (101.118.38.48)
6, None, None, (101.118.38.48)
7, None, None, (101.118.38.48)
8, None, None, (101.118.38.48)
9, None, None, (101.118.38.48)
10, None, None, (101.118.38.48)
11, None, None, (101.118.38.48)
12, None, None, (101.118.38.48)
13, 178.122.125.130, 8768.453844, (101.118.38.48)
14, 178.122.125.130, 997.783189, (101.118.38.48)
15, 178.122.125.130, 999.332608, (101.118.38.48)
16, None, None, (101.118.38.48)
17, None, None, (101.118.38.48)
18, None, None, (101.118.38.48)
19, None, None, (101.118.38.48)
20, None, None, (101.118.38.48)
21, None, None, (101.118.38.48)
22, None, None, (101.118.38.48)
23, None, None, (101.118.38.48)
24, None, None, (101.118.38.48)
25, None, None, (101.118.38.48)
26, None, None, (101.118.38.48)
27, None, None, (101.118.38.48)
28, None, None, (101.118.38.48)
29, None, None, (101.118.38.48)
30, None, None, (101.118.38.48)
31, None, None, (101.118.38.48)
32, None, None, (101.118.38.48)
33, None, None, (101.118.38.48)
34, None, None, (101.118.38.48)
35, None, None, (101.118.38.48)
36, None, None, (101.118.38.48)
37, None, None, (101.118.38.48)
38, None, None, (101.118.38.48)
39, None, None, (101.118.38.48)
40, None, None, (101.118.38.48)
1, None, None, (101.118.54.38)
2, None, None, (101.118.54.38)
3, None, None, (101.118.54.38)
4, None, None, (101.118.54.38)
5, None, None, (101.118.54.38)
6, None, None, (101.118.54.38)
7, None, None, (101.118.54.38)
8, None, None, (101.118.54.38)
9, None, None, (101.118.54.38)
10, None, None, (101.118.54.38)
11, None, None, (101.118.54.38)
12, None, None, (101.118.54.38)
13, None, None, (101.118.54.38)
14, None, None, (101.118.54.38)
15, None, None, (101.118.54.38)
16, None, None, (101.118.54.38)
17, None, None, (101.118.54.38)
18, None, None, (101.118.54.38)
19, None, None, (101.118.54.38)
20, None, None, (101.118.54.38)
21, None, None, (101.118.54.38)
22, None, None, (101.118.54.38)
23, None, None, (101.118.54.38)
24, None, None, (101.118.54.38)
25, None, None, (101.118.54.38)
26, None, None, (101.118.54.38)
27, None, None, (101.118.54.38)
28, None, None, (101.118.54.38)
29, None, None, (101.118.54.38)
30, None, None, (101.118.54.38)
31, None, None, (101.118.54.38)
32, None, None, (101.118.54.38)
33, None, None, (101.118.54.38)
34, None, None, (101.118.54.38)
35, None, None, (101.118.54.38)
36, None, None, (101.118.54.38)
37, None, None, (101.118.54.38)
38, None, None, (101.118.54.38)
39, None, None, (101.118.54.38)
40, None, None, (101.118.54.38)
1, None, None, (101.165.0.15)
2, None, None, (101.165.0.15)
3, None, None, (101.165.0.15)
4, None, None, (101.165.0.15)
5, None, None, (101.165.0.15)
6, None, None, (101.165.0.15)
7, None, None, (101.165.0.15)
8, None, None, (101.165.0.15)
9, None, None, (101.165.0.15)
10, None, None, (101.165.0.15)
11, None, None, (101.165.0.15)
12, None, None, (101.165.0.15)
13, None, None, (101.165.0.15)
14, None, None, (101.165.0.15)
15, None, None, (101.165.0.15)
16, None, None, (101.165.0.15)
17, None, None, (101.165.0.15)
18, None, None, (101.165.0.15)
19, None, None, (101.165.0.15)
20, None, None, (101.165.0.15)
21, None, None, (101.165.0.15)
22, None, None, (101.165.0.15)
23, None, None, (101.165.0.15)
