32, 83.160.85.1, 998.066103, (101.118.54.38)
33, 83.160.85.1, 1000.716144, (101.118.54.38)
34, None, None, (101.118.54.38)
35, None, None, (101.118.54.38)
36, None, None, (101.118.54.38)
37, None, None, (101.118.54.38)
38, None, None, (101.118.54.38)
39, None, None, (101.118.54.38)
40, None, None, (101.118.54.38)
41, None, None, (101.118.54.38)
42, None, None, (101.118.54.38)
43, None, None, (101.118.54.38)
44, None, None, (101.118.54.38)
45, None, None, (101.118.54.38)
46, None, None, (101.118.54.38)
47, None, None, (101.118.54.38)
48, None, None, (101.118.54.38)
49, None, None, (101.118.54.38)
50, None, None, (101.118.54.38)
1, 133.71.3.254, 2.768269, (101.165.0.15)
2, 133.71.254.13, 6.369764, (101.165.0.15)
3, 150.99.187.253, 2.991914, (101.165.0.15)
4, 150.99.84.105, 8.458504, (101.165.0.15)
5, 61.200.91.153, 10.336049, (101.165.0.15)
6, 129.250.3.107, 114.001324, (101.165.0.15)
7, 129.250.7.30, 10.627661, (101.165.0.15)
8, 129.250.2.176, 436.840327, (101.165.0.15)
9, 129.250.3.17, 120.202078, (101.165.0.15)
10, 129.250.2.160, 119.569580, (101.165.0.15)
11, 144.232.25.97, 120.933324, (101.165.0.15)
12, 144.232.9.177, 123.000971, (101.165.0.15)
13, 144.223.44.14, 130.128545, (101.165.0.15)
14, 144.232.15.237, 126.198875, (101.165.0.15)
15, 202.84.247.42, 117.230528, (101.165.0.15)
16, 202.84.136.5, 299.388689, (101.165.0.15)
17, 144.223.179.146, 124.072425, (101.165.0.15)
18, 203.50.11.125, 320.724845, (101.165.0.15)
19, 203.50.11.125, 321.290937, (101.165.0.15)
20, 203.50.11.108, 317.769233, (101.165.0.15)
21, 203.50.6.56, 316.984394, (101.165.0.15)
22, 203.50.11.125, 323.418844, (101.165.0.15)
23, None, None, (101.165.0.15)
24, None, None, (101.165.0.15)
25, None, None, (101.165.0.15)
26, None, None, (101.165.0.15)
27, None, None, (101.165.0.15)
28, None, None, (101.165.0.15)
29, None, None, (101.165.0.15)
30, None, None, (101.165.0.15)
31, None, None, (101.165.0.15)
32, None, None, (101.165.0.15)
33, None, None, (101.165.0.15)
34, None, None, (101.165.0.15)
35, None, None, (101.165.0.15)
36, None, None, (101.165.0.15)
37, None, None, (101.165.0.15)
38, None, None, (101.165.0.15)
39, None, None, (101.165.0.15)
40, None, None, (101.165.0.15)
41, None, None, (101.165.0.15)
42, None, None, (101.165.0.15)
43, None, None, (101.165.0.15)
44, None, None, (101.165.0.15)
45, None, None, (101.165.0.15)
46, None, None, (101.165.0.15)
47, None, None, (101.165.0.15)
48, None, None, (101.165.0.15)
49, None, None, (101.165.0.15)
50, None, None, (101.165.0.15)
1, 133.71.3.254, 2.688842, (101.176.208.205)
2, 133.71.254.13, 22.583548, (101.176.208.205)
3, 150.99.187.253, 2.836082, (101.176.208.205)
4, 150.99.84.105, 8.340746, (101.176.208.205)
5, 61.200.91.153, 9.929489, (101.176.208.205)
6, 129.250.3.107, 113.505394, (101.176.208.205)
7, 129.250.2.41, 1029.502209, (101.176.208.205)
8, 129.250.2.118, 116.850015, (101.176.208.205)
9, 129.250.3.17, 119.763700, (101.176.208.205)
10, 129.250.5.98, 98.635614, (101.176.208.205)
11, 129.250.8.150, 120.317656, (101.176.208.205)
12, 144.232.8.157, 117.944489, (101.176.208.205)
13, 144.232.154.222, 129.593710, (101.176.208.205)
14, 202.84.143.25, 130.231676, (101.176.208.205)
15, 144.232.22.178, 120.826925, (101.176.208.205)
16, 144.232.15.57, 121.536922, (101.176.208.205)
17, 203.50.13.85, 296.789965, (101.176.208.205)
18, 203.50.6.56, 309.514963, (101.176.208.205)
19, 203.50.61.65, 307.095181, (101.176.208.205)
20, 203.50.62.203, 309.759076, (101.176.208.205)
21, None, None, (101.176.208.205)
22, 203.50.61.65, 308.230645, (101.176.208.205)
23, None, None, (101.176.208.205)
24, None, None, (101.176.208.205)
25, None, None, (101.176.208.205)
26, None, None, (101.176.208.205)
27, None, None, (101.176.208.205)
28, None, None, (101.176.208.205)
29, None, None, (101.176.208.205)
30, None, None, (101.176.208.205)
31, None, None, (101.176.208.205)
32, None, None, (101.176.208.205)
33, None, None, (101.176.208.205)
34, 188.74.32.253, 1580.116567, (101.176.208.205)
35, 90.249.125.245, 352.078064, (101.176.208.205)
36, 188.74.32.253, 644.648156, (101.176.208.205)
37, 90.249.125.245, 352.180668, (101.176.208.205)
38, 188.74.32.253, 645.124821, (101.176.208.205)
39, 89.219.84.204, 147.677123, (101.176.208.205)
40, 89.219.84.204, 1.391817, (101.176.208.205)
41, 90.249.125.245, 200.555332, (101.176.208.205)
42, None, None, (101.176.208.205)
43, None, None, (101.176.208.205)
44, None, None, (101.176.208.205)
45, None, None, (101.176.208.205)
46, None, None, (101.176.208.205)
47, None, None, (101.176.208.205)
48, None, None, (101.176.208.205)
49, None, None, (101.176.208.205)
50, None, None, (101.176.208.205)
1, 133.71.3.254, 2.815196, (101.224.196.165)
2, 133.71.254.13, 15.637849, (101.224.196.165)
3, 150.99.187.253, 2.989310, (101.224.196.165)
4, 150.99.89.209, 14.652906, (101.224.196.165)
5, 61.213.145.221, 27.799047, (101.224.196.165)
6, 129.250.6.188, 16.728834, (101.224.196.165)
7, 129.250.3.23, 16.005035, (101.224.196.165)
8, 129.250.2.154, 16.008837, (101.224.196.165)
9, 202.97.60.213, 80.663194, (101.224.196.165)
10, 202.97.90.58, 108.049066, (101.224.196.165)
11, 202.97.94.149, 90.208674, (101.224.196.165)
12, 101.95.88.1, 105.980742, (101.224.196.165)
13, 101.95.90.98, 117.247412, (101.224.196.165)
14, 61.152.1.90, 95.998649, (101.224.196.165)
15, None, None, (101.224.196.165)
16, None, None, (101.224.196.165)
17, None, None, (101.224.196.165)
18, None, None, (101.224.196.165)
19, None, None, (101.224.196.165)
20, None, None, (101.224.196.165)
21, None, None, (101.224.196.165)
22, None, None, (101.224.196.165)
23, None, None, (101.224.196.165)
24, None, None, (101.224.196.165)
25, None, None, (101.224.196.165)
26, None, None, (101.224.196.165)
27, None, None, (101.224.196.165)
28, None, None, (101.224.196.165)
29, None, None, (101.224.196.165)
30, None, None, (101.224.196.165)
31, None, None, (101.224.196.165)
32, None, None, (101.224.196.165)
33, None, None, (101.224.196.165)
34, None, None, (101.224.196.165)
35, None, None, (101.224.196.165)
36, None, None, (101.224.196.165)
37, None, None, (101.224.196.165)
38, None, None, (101.224.196.165)
39, None, None, (101.224.196.165)
40, None, None, (101.224.196.165)
41, None, None, (101.224.196.165)
42, None, None, (101.224.196.165)
43, None, None, (101.224.196.165)
44, None, None, (101.224.196.165)
45, None, None, (101.224.196.165)
46, None, None, (101.224.196.165)
47, None, None, (101.224.196.165)
48, None, None, (101.224.196.165)
49, None, None, (101.224.196.165)
50, None, None, (101.224.196.165)
1, 133.71.3.254, 2.776863, (103.129.233.249)
2, 133.71.254.13, 6.227629, (103.129.233.249)
3, 150.99.187.253, 3.094726, (103.129.233.249)
4, 150.99.89.209, 15.508110, (103.129.233.249)
5, 61.213.145.221, 16.620137, (103.129.233.249)
6, 129.250.6.188, 61.875673, (103.129.233.249)
7, 129.250.3.34, 16.423835, (103.129.233.249)
8, 129.250.2.51, 66.086800, (103.129.233.249)
9, 129.250.6.92, 66.391694, (103.129.233.249)
10, 116.0.93.210, 62.517440, (103.129.233.249)
11, 116.0.93.153, 86.432859, (103.129.233.249)
12, 180.87.15.202, 148.235251, (103.129.233.249)
13, None, None, (103.129.233.249)
14, 14.143.254.26, 166.230017, (103.129.233.249)
15, 103.129.232.18, 168.792611, (103.129.233.249)
16, None, None, (103.129.233.249)
17, None, None, (103.129.233.249)
18, 62.33.8.85, 9291.638333, (103.129.233.249)
19, None, None, (103.129.233.249)
20, None, None, (103.129.233.249)
21, None, None, (103.129.233.249)
22, None, None, (103.129.233.249)
23, None, None, (103.129.233.249)
24, None, None, (103.129.233.249)
25, None, None, (103.129.233.249)
26, None, None, (103.129.233.249)
27, None, None, (103.129.233.249)
28, None, None, (103.129.233.249)
29, None, None, (103.129.233.249)
30, None, None, (103.129.233.249)
31, None, None, (103.129.233.249)
32, 199.79.170.167, 6999.805837, (103.129.233.249)
33, 199.79.170.167, 997.865732, (103.129.233.249)
34, 199.79.170.167, 1000.699730, (103.129.233.249)
35, None, None, (103.129.233.249)
36, None, None, (103.129.233.249)
37, None, None, (103.129.233.249)
38, None, None, (103.129.233.249)
39, None, None, (103.129.233.249)
40, None, None, (103.129.233.249)
41, None, None, (103.129.233.249)
42, None, None, (103.129.233.249)
43, None, None, (103.129.233.249)
44, None, None, (103.129.233.249)
45, None, None, (103.129.233.249)
46, None, None, (103.129.233.249)
47, None, None, (103.129.233.249)
48, None, None, (103.129.233.249)
49, None, None, (103.129.233.249)
50, None, None, (103.129.233.249)
1, 133.71.3.254, 2.895248, (103.217.166.224)
2, 133.71.254.13, 6.745596, (103.217.166.224)
3, 150.99.187.253, 3.100559, (103.217.166.224)
4, 150.99.84.105, 8.448610, (103.217.166.224)
5, 103.246.232.40, 8.610901, (103.217.166.224)
6, 184.104.193.205, 15.251081, (103.217.166.224)
7, 184.105.64.129, 80.330334, (103.217.166.224)
8, 184.105.222.102, 116.791376, (103.217.166.224)
9, None, None, (103.217.166.224)
10, 114.31.206.50, 244.995984, (103.217.166.224)
11, 103.1.77.104, 244.723537, (103.217.166.224)
12, 103.1.76.146, 246.128323, (103.217.166.224)
13, 103.1.77.1, 249.254872, (103.217.166.224)
14, 114.31.192.85, 245.255462, (103.217.166.224)
15, 49.255.206.54, 217.532508, (103.217.166.224)
16, None, None, (103.217.166.224)
17, None, None, (103.217.166.224)
18, None, None, (103.217.166.224)
19, None, None, (103.217.166.224)
20, None, None, (103.217.166.224)
21, None, None, (103.217.166.224)
22, None, None, (103.217.166.224)
23, None, None, (103.217.166.224)
24, None, None, (103.217.166.224)
25, None, None, (103.217.166.224)
26, None, None, (103.217.166.224)
27, None, None, (103.217.166.224)
28, None, None, (103.217.166.224)
29, None, None, (103.217.166.224)
30, None, None, (103.217.166.224)
31, None, None, (103.217.166.224)
32, None, None, (103.217.166.224)
33, None, None, (103.217.166.224)
34, None, None, (103.217.166.224)
35, None, None, (103.217.166.224)
36, None, None, (103.217.166.224)
37, None, None, (103.217.166.224)
38, None, None, (103.217.166.224)
39, None, None, (103.217.166.224)
40, None, None, (103.217.166.224)
41, None, None, (103.217.166.224)
42, None, None, (103.217.166.224)
43, None, None, (103.217.166.224)
44, None, None, (103.217.166.224)
45, None, None, (103.217.166.224)
46, None, None, (103.217.166.224)
47, None, None, (103.217.166.224)
48, None, None, (103.217.166.224)
49, None, None, (103.217.166.224)
50, None, None, (103.217.166.224)
1, 133.71.3.254, 2.772535, (103.226.5.93)
2, 133.71.254.13, 8.022191, (103.226.5.93)
3, 150.99.187.253, 3.469302, (103.226.5.93)
4, 150.99.90.81, 8.812811, (103.226.5.93)
5, 210.173.178.18, 12.541018, (103.226.5.93)
