0000000000000000000000000000000000000000 count 8 age -9223215993 sec
    Node 02beedf004dfd3d693bdcc97e10a15120a199c01 [2607:5300:201:3000::29cc]:4227 age -9223215993 [expired]
    Node 024b65a71542d1e1a2402a631c2b72c2636aef59 [2001:41d0:303:4814::]:44137 age -9223215993 [expired]
    Node 026a9dc2f43df9e661c50401411cb7e698f100a1 [2001:41d0:303:4814::]:43705 age -9223215993 [expired]
    Node 057057b0ad440f3ca253ee70b18ac81c32be36dc [2607:5300:201:3000::29cc]:4237 age -9223215993 [expired]
    Node 0a5b0166503793a33a89fdaffa5405b0e910f734 [2001:41d0:303:67d2::]:4231 age -9223215993 [expired]
    Node 0875486a3c4194a51e55b8d565658a8ec667c62b [2001:41d0:401:3100::2900]:4252 age -9223215993 [expired]
    Node 0e4a5705bf97d39a6c6d9bc533fb505d71c286a8 [2607:5300:201:3000::29cc]:4224 age -9223215993 [expired]
    Node 10d5d505fd980fe916b173b39ba576181565170a [2607:fad8:0:1::]:4246 age -9223215993 [expired]
8000000000000000000000000000000000000000 count 0 age -9223215993 sec

