0000000000000000000000000000000000000000 count 8 age -9219408717 sec
    Node 517f17c288c8e8968ed8b5a7b22d80e362e00dbc [2001:41d0:303:4814::]:4233 age -9219408717 [expired]
    Node 685eaa69cd023d32ff66a6c210c779d08de79191 [2001:41d0:303:4814::]:32943 age -9219408717 [expired]
    Node 0441cacda5ddbc7f8d1ca8e4f083e3bccb9853af [2607:fad8:0:1::]:4225 age -9219408717 [expired]
    Node 0f473b3ba76e034e01395590ef8afe12e01733fb [2001:41d0:303:4814::]:4223 age -9219408717 [expired]
    Node 0e3d0492d4e8f1f9144ebfdc1ee0076f69c834b0 [2001:41d0:303:4814::]:4231 age -9219408717 [expired]
    Node 3460d9d0fd1f9239168cfbe5965e16fc75603ce5 [2607:fad8:0:1::]:4226 age -9219408717 [expired]
    Node 33a6932bb9115b77444248fcceed6eb03fb75d93 [2001:41d0:303:4814::]:4229 age -9219408717 [expired]
    Node 3c1aa06714ce8c93e5c65ac21359bf9072671f1a [2001:41d0:303:67d2::]:4251 age -9219408717 [expired]
8000000000000000000000000000000000000000 count 8 age -9219408717 sec
    Node cd92c50b811beb2ad44a41e5449676e92c1a484c [2a03:3b40:268:0:4ecc:6aff:fed8:6075]:7376 age -9219408717 [expired]
    Node c5517ecdb27cdee4733ed36b43a0ed2eee98aa43 [2607:fad8:0:1::]:4228 age -9219408717 [expired]
    Node c5b7e996a23af08ae1ed221162a1a20f9abc0454 [2607:fad8:0:1::3]:4229 age -9219408717 [expired]
    Node d3786024590047ab55a0a4fe2151fd3316405b8d [2605:a000:62c5:2500:785b:be55:5944:bc5b]:8022 age -9219408717 [expired]
    Node d27ce7164d5e2b04bf4744a5e6b258c3f7e07e44 [2003:c7:b701:600:d07a:61a7:3a3f:e26]:8064 age -9219408717 [expired]
    Node d0b45458aa2289c65923cf86f950d795ac936160 [2001:41d0:303:67d2::]:4249 age -9219408717 [expired]
    Node d7e37c6883231e60a98a54fc95c70f24806b7666 [2607:5300:201:3000::29cc]:4242 age -9219408717 [expired]
    Node d5c00ac18226dac5bdfb29840fb18f5d896f243a [2607:fad8:4:6::37]:4225 age -9219408717 [expired]

