0000000000000000000000000000000000000000 count 8 age -9221243417 sec
    Node 1df1ada8713869e59895a69bd1cb12e5eafb520e [2001:41d0:303:4814::]:49110 age -9221243417 [expired]
    Node 091986527c0991c22e88ab1560c855a28dac21bb [2001:41d0:303:4814::]:35541 age -9221243417 [expired]
    Node 02beedf004dfd3d693bdcc97e10a15120a199c01 [2607:5300:201:3000::29cc]:4227 age -9221243417 [expired]
    Node 000cfc267757c8bf890272378cb631fb1fc8d8bc [2607:fad8:0:1::]:4250 age -9221243417 [expired]
    Node 04914ebe1dcd31ac69c8acde361e741abed5919b [2607:fad8:0:1::]:4245 age -9221243417 [expired]
    Node 0441cacda5ddbc7f8d1ca8e4f083e3bccb9853af [2607:fad8:0:1::]:4225 age -9221243417 [expired]
    Node 057057b0ad440f3ca253ee70b18ac81c32be36dc [2607:5300:201:3000::29cc]:4237 age -9221243417 [expired]
    Node 257923cc81c5797421207be7d661ed79e7d7e22f [2a01:e0a:513:88e0:9144:8bf0:e4c4:ed1b]:6418 age -9221243417 [expired]
8000000000000000000000000000000000000000 count 0 age -9221243417 sec

