0000000000000000000000000000000000000000 count 8 age -9219818044 sec
    Node 6139f176a3d3e52a3cd20b3af7eb926aec135963 [2607:fad8:0:1::3]:4225 age -9219818044 [expired]
    Node 618e33c2f09d323d1d9d515a30f8d30c40423c0b [2a01:e34:efb1:51f0:f1de:1dfe:cd85:e5c6]:5242 age -9219818044 [expired]
    Node 62e773694dd06a686e4321018a671671901f94d9 [2001:41d0:303:67d2::]:4243 age -9219818044 [expired]
    Node 63795beaca4a6b6323d4ad8d2d7f11f201a444ab [2607:fad8:4:6:8cae:8f1f:edde:d752]:5472 age -9219818044 [expired]
    Node 640742b9bb0b2b6a3cc766556e0f0cf8bf385cbd [2607:fad8:0:1::3]:4251 age -9219818044 [expired]
    Node 6463534768b40361cc7434229935bdd0aff28ec3 [2607:fad8:0:1::]:4242 age -9219818044 [expired]
    Node 653a48119d8a4076943c1b90434d748a49ba964e [2001:41d0:401:3100::2900]:4242 age -9219818044 [expired]
    Node 664700ae6a7a1bd3b583c06dc1f00084d915ab3e [2001:41d0:303:67d2::]:4245 age -9219818044 [expired]
8000000000000000000000000000000000000000 count 8 age -9219818044 sec
    Node e406e4c5f19b8b3bcccbf49b60d714628ce4c831 [2001:41d0:303:67d2::]:4253 age -9219818044 [expired]
    Node ede54f7f3c34f868e0bb31bd9e83bd982a2c789f [2001:41d0:303:67d2::]:4237 age -9219818044 [expired]
    Node f121ea589271ba247734b67c98775d058ada1442 [2001:41d0:303:67d2::]:4224 age -9219818044 [expired]
    Node fc439356702acace012876624d7c68600e4a9a30 [2001:41d0:303:4814::]:34069 age -9219818044 [expired]
    Node c06f6b6e324dd676708c9bfcd201a17bf4f3be62 [2001:41d0:303:4814::]:40312 age -9219818044 [expired]
    Node c5b7e996a23af08ae1ed221162a1a20f9abc0454 [2607:fad8:0:1::3]:4229 age -9219818044 [expired]
    Node cb1e72a84308fd73e3b367b8b2ab0ad0210b9f2d [2607:fad8:4:6:ede9:24f7:c1e2:f4e2]:6990 age -9219818044 [expired]
    Node d8c793647c152d78c6d3da864e19bda349e815ec [2a01:e0a:77:7920:a5c0:8c8e:caeb:9aad]:8130 age -9219818044 [expired]

