0000000000000000000000000000000000000000 count 8 age -9219443515 sec
    Node 0a69a0cf22535cc7239dc4d37ec7fd1f82912fa0 [2001:41d0:303:4814::]:4252 age -9219443515 [expired]
    Node 0b5694d65f9ee6ad64bcabd9aec4527dfc129c0e [2001:41d0:303:67d2::]:4243 age -9219443515 [expired]
    Node 0b4a029920bc1a8a22e9d82d9fae0cd9fc032b63 [2607:5300:201:3000::29cc]:4236 age -9219443515 [expired]
    Node 0879ddba3f0baddcdb583499f2f34c3d0f6991f5 [2607:fad8:0:1::3]:4238 age -9219443515 [expired]
    Node 09ca5f53b414d7292a2045ac4435279042e8bc73 [2607:fad8:0:1::3]:4247 age -9219443515 [expired]
    Node 095bb3dcf018b37dcd4ebf6f66f104628052e4d7 [2001:41d0:403:3398::]:43089 age -9219443515 [expired]
    Node 00f6ee6a6c6ce55be922d16134b44f5cbd4af048 [2001:41d0:403:3398::]:52601 age -9219443515 [expired]
    Node 06a5f7264a632558bc876df99198bb2a4158e3d8 [2607:5300:201:3000::29cd]:4230 age -9219443515 [expired]
8000000000000000000000000000000000000000 count 8 age -9219443515 sec
    Node bcfcd21e3006418059beebd06f6ba980cdd1fa14 [2607:5300:201:3000::29cc]:4247 age -9219443515 [expired]
    Node b5b6610207ed7018eca211185afc97edebe48621 [2001:41d0:303:4814::]:41787 age -9219443515 [expired]
    Node b51cf3e25c9b8406ff5513337b1c42193460ceea [2607:5300:201:3000::29cc]:4244 age -9219443515 [expired]
    Node b041f8e5bf0d0551f2741212145250b4fadf16df [2001:41d0:303:4814::]:49682 age -9219443515 [expired]
    Node ad8745ce63a186c42e0f421959606bc305acbf81 [2607:5300:201:3000::29cc]:4225 age -9219443515 [expired]
    Node acff8c4362c98e8617fbb00d063064250dca433c [2a01:e0a:192:3bb0:347f:92a1:9230:db0f]:5196 age -9219443515 [expired]
    Node a1e02bdb4e27782146f9edb51b83fa9d40cca266 [2607:5300:201:3000::29cc]:4230 age -9219443515 [expired]
    Node a0265f3ce6a1ee80eeb85faba30f41a6be31f907 [2001:41d0:403:3398::]:46803 age -9219443515 [expired]

