0000000000000000000000000000000000000000 count 8 age -9220900808 sec
    Node 417220d03f4115059df5f97f4f4e48a628b9228b [2001:41d0:403:3398::]:33443 age -9220900808 [expired]
    Node 7b2acc621f8bf5f0b2868e7e5f5cdf57935bba13 [2607:fad8:0:1::3]:4226 age -9220900808 [expired]
    Node 7f140bd8859d802e6fc64223a3a9ba95695d3314 [2607:fad8:0:1::3]:4236 age -9220900808 [expired]
    Node 6a005388e62f8a87198685a51ace16bef3d3eee4 [2001:41d0:303:4814::]:34896 age -9220900808 [expired]
    Node 6f675a58c758655694714376dfc5ce325b45ca16 [2a01:e0a:1aa:2090:e473:1c82:e7d2:5788]:4190 age -9220900808 [expired]
    Node 6f84e4aced7a3265b73ac9f61974f16c586f3038 [2001:41d0:303:4814::]:49873 age -9220900808 [expired]
    Node 6678626c84b1d8fc7ca2abb0f3904259a9e84352 [2001:41d0:303:4814::]:38888 age -9220900808 [expired]
    Node 672858544203ea3e387fdf2eccaa1a2b394a2846 [2a01:e34:ee04:1030:3188:6668:e216:f0c8]:7756 age -9220900808 [expired]
8000000000000000000000000000000000000000 count 8 age -9220900808 sec
    Node e4ed4be6801f4d577229b170802944e21ad7b70e [2001:41d0:403:3398::]:58994 age -9220900808 [expired]
    Node e406e4c5f19b8b3bcccbf49b60d714628ce4c831 [2001:41d0:303:67d2::]:4253 age -9220900808 [expired]
    Node e56d035ad2189a6163e33d0e41371189b30ae6e0 [2607:5300:201:3000::29cc]:4236 age -9220900808 [expired]
    Node e6ccf8edc0271cd36d8df7d758e01868677b2ac6 [2001:41d0:403:3398::]:53985 age -9220900808 [expired]
    Node e6869c403427e14235390c74e656ce5220137b25 [2804:e1c:ff02:6d01:5927:d3b8:fe29:900b]:8470 age -9220900808 [expired]
    Node ea6f3dc6ad25f146e7dbc16f94be210514a7c738 [2607:fad8:0:1::]:4244 age -9220900808 [expired]
    Node ede54f7f3c34f868e0bb31bd9e83bd982a2c789f [2001:41d0:303:67d2::]:4237 age -9220900808 [expired]
    Node ef4b17250396ebb8426355b66da964bf0bea0fd3 [2a02:1812:1520:2d00:685d:40a1:d391:33ad]:5508 age -9220900808 [expired]

