0000000000000000000000000000000000000000 count 0 age -9223165794 sec
8000000000000000000000000000000000000000 count 8 age -9223165794 sec
    Node cdce8482d14910950a1e6fe58ebfdee3c87932e8 [2607:fad8:0:1::]:4230 age -9223165794 [expired]
    Node cdc78ea3260675f4e5811b27c96e432c2d957ece [2607:fad8:4:6::37]:4222 age -9223165794 [expired]
    Node cd92c50b811beb2ad44a41e5449676e92c1a484c [2a03:3b40:268:0:4ecc:6aff:fed8:6075]:6018 age -9223165794 [expired]
    Node cc1c645c1f145d5b965ff8263305fb21c67c584c [2409:8a55:4c81:ed90:a1d3:65de:ef7a:39ba]:8112 age -9223165794 [expired]
    Node cbc2fcd7f5ab0eb33b4db9b7da831f99e78a0ee0 [2607:5300:201:3000::29cc]:4248 age -9223165794 [expired]
    Node cbe23694efcd6e5d2c66bead5acc5aecdef1be76 [2001:0:53aa:64c:2828:37a8:e71f:36ff]:8672 age -9223165794 [expired]
    Node cb193cf2ee917d2045137efeaa3a47d704bd1b87 [2a01:e34:eea5:d300:2c61:628e:a71e:74ea]:7710 age -9223165794 [expired]
    Node c98ed54d59faca4c767aabc7d7b0623c3f5ec224 [2a01:e0a:307:2c60:cb5e:2980:b670:f0fb]:8312 age -9223165794 [expired]

