0000000000000000000000000000000000000000 count 0 age -9220979023 sec
8000000000000000000000000000000000000000 count 8 age -9220979023 sec (cached)
    Node 8a125428fead8a6fadcefda76f5720cbf251d599 [2001:41d0:303:67d2::]:4240 age -9220979023 [expired]
    Node 9da5a829febc32e08cefcb74162465c751b4b469 [2001:41d0:401:3100::2900]:4235 age -9220979023 [expired]
    Node 9e3f03583c482bb11a46134a169c1398b5baf77e [2001:41d0:403:3398::]:4250 age -9220979023 [expired]
    Node 9e21d99bec432caaddd7a0ca32a370e7701beb1f [2001:41d0:303:67d2::]:4246 age -9220979023 [expired]
    Node 8b6a81e16c73ffbc477166284892cbb91c44dc89 [2607:fad8:0:1::]:4248 age -9220979023 [expired]
    Node 8dcae27039fa6ae3dc4a95bfa388b1306a8f3fea [2a01:e35:2f47:8940:49b0:3153:62e5:4690]:6428 age -9220979023 [expired]
    Node 8f1dcf1dbdf4df2282c3b436c57e67f8abed3fea [2601:500:4380:93:e083:9e69:5b71:5c13]:6442 age -9220979023 [expired]
    Node 8f65df30a43d8767dfb41a7fbf6cf50d63df710b [2003:c6:6f08:e4f7:817c:a01b:b016:50be]:7064 age -9220979023 [expired]

