0000000000000000000000000000000000000000 count 8 age -9220998825 sec
    Node 1b3066644f6036b4e17e7b42d31c5234bccf5d44 [2607:fad8:0:1::]:4232 age -9220998825 [expired]
    Node 1eef024828f4f7b74e16bacad1b9e1ff79507f09 [2001:41d0:303:4814::]:45387 age -9220998825 [expired]
    Node 15a199e375a8def26e9cebf606f74d4d51428f81 [2001:41d0:303:67d2::]:4234 age -9220998825 [expired]
    Node 0b4fbdeaef34c55aff20770d694a4d739de690be [2607:fad8:4:6:115e:eb26:b0a:4c51]:7026 age -9220998825 [expired]
    Node 0dcf9807b0b70c19ea994ca4376230eb99ab594b [2a01:e34:ecab:4630:dd4c:f618:30cc:3b48]:6694 age -9220998825 [expired]
    Node 05f1321ced40a3b745502dfc21101151f8f1fa22 [2001:41d0:403:3398::]:4235 age -9220998825 [expired]
    Node 2e699e84795a4f72c738db18e8780f7454b9bd29 [2607:fad8:0:1::3]:4223 age -9220998825 [expired]
    Node 2c65035924376b046f53016cb9326de863df587e [2001:41d0:403:3398::]:4236 age -9220998825 [expired]
8000000000000000000000000000000000000000 count 8 age -9220998825 sec
    Node a5abccf044571bf9d28e02a5c40cde2201365b56 [2607:fad8:0:1::]:4252 age -9220998825 [expired]
    Node a7517b96be16ca680f6cff87bde1d678cd928381 [2607:fad8:4:6:fcb6:8bc6:b0d6:833c]:7206 age -9220998825 [expired]
    Node a6fc5c5461130a969e794755e3da3ebb7cace441 [2607:fad8:0:1::3]:4224 age -9220998825 [expired]
    Node a6b95f2bcaa3914bc3b8eb661becfb41e16f3f2c [2607:fad8:0:1::3]:4230 age -9220998825 [expired]
    Node a6a21d38cb73f709822733a84d0e6b21ab1f64ca [2001:171b:c9b6:dbc0:b94a:5063:8dc5:cfde]:8070 age -9220998825 [expired]
    Node acff8c4362c98e8617fbb00d063064250dca433c [2a01:e0a:192:3bb0:346a:5b8e:733:6526]:4512 age -9220998825 [expired]
    Node a99e752ca1e687c05ad0085874a8a11820d5a58c [2001:41d0:303:67d2::]:4236 age -9220998825 [expired]
    Node a98cb8b076524df8f34c068eb9f6829ba4584394 [2001:41d0:401:3100::2900]:4224 age -9220998825 [expired]

