0000000000000000000000000000000000000000 count 8 age -9221205014 sec
    Node 15a199e375a8def26e9cebf606f74d4d51428f81 [2001:41d0:303:67d2::]:4234 age -9221205014 [expired]
    Node 0b0cf95522663a53e4faacf47bacdcf04b05d1aa [2a01:e35:8b1f:10d0:f569:a29:f7fe:1fe9]:8088 age -9221205014 [expired]
    Node 02beedf004dfd3d693bdcc97e10a15120a199c01 [2607:5300:201:3000::29cc]:4227 age -9221205014 [expired]
    Node 000cfc267757c8bf890272378cb631fb1fc8d8bc [2607:fad8:0:1::]:4250 age -9221205014 [expired]
    Node 04914ebe1dcd31ac69c8acde361e741abed5919b [2607:fad8:0:1::]:4245 age -9221205014 [expired]
    Node 2273f19ddb1cee3fb00a382359d33067f34d1427 [2607:fad8:0:1::]:4229 age -9221205014 [expired]
    Node 2220e7cabf0a80b7c802e1185da8b3860a2745ab [2607:fad8:0:1::]:4222 age -9221205014 [expired]
    Node 21bee66c122565d76b8989028cf103185a69b989 [2607:5300:201:3000::29cc]:4251 age -9221205014 [expired]
8000000000000000000000000000000000000000 count 2 age -9221205014 sec
    Node 80f0b31e0eabf2706a5f055de88b17a2b408eeb8 [2607:fad8:4:6:300a:8df8:ee7e:8f6e]:7466 age -9221205014 [expired]
    Node ad09d22a968cfd50cdf1272959c221979f3698f8 [2a02:1810:ac1e:f700:ede8:2521:1974:b568]:4906 age -9221205014 [expired]

