0000000000000000000000000000000000000000 count 0 age -9221569717 sec
8000000000000000000000000000000000000000 count 8 age -9221569717 sec
    Node ccdfda78c0d494b8ad6b9faebea42b56484d7021 [2a02:810b:1040:81ac:227:13ff:feb6:df39]:6442 age -9221569717 [expired]
    Node cc1c645c1f145d5b965ff8263305fb21c67c584c [2409:8a55:4c82:7bb0:8101:944f:7ada:532f]:6022 age -9221569717 [expired]
    Node cdce8482d14910950a1e6fe58ebfdee3c87932e8 [2607:fad8:0:1::]:4230 age -9221569717 [expired]
    Node cdc78ea3260675f4e5811b27c96e432c2d957ece [2607:fad8:4:6::37]:4222 age -9221569717 [expired]
    Node cd92c50b811beb2ad44a41e5449676e92c1a484c [2a03:3b40:268:0:4ecc:6aff:fed8:6075]:4410 age -9221569717 [expired]
    Node ceac540e61114cc6aeccc4a1ad27ed5e848dc700 [2406:5a00:4040:5600:ed57:d64d:36f8:f925]:7768 age -9221569717 [expired]
    Node ce0c7bcea791da200a6fa0a2be2e1e159cfc423b [2a02:a03f:3a2c:5e00:a5a9:4d9a:6e0a:6bdb]:5240 age -9221569717 [expired]
    Node cf3556162377c32809ea41a6f8247cbb3659b80f [2001:470:1f0b:7fd:adcd:2b29:8062:14dc]:8104 age -9221569717 [expired]

