0000000000000000000000000000000000000000 count 8 age -9221283624 sec
    Node 04914ebe1dcd31ac69c8acde361e741abed5919b [2607:fad8:0:1::]:4245 age -9221283624 [expired]
    Node 02e2037cc1adfe94d34749476ceacd75e9c7494b [2607:fad8:0:1::3]:4249 age -9221283624 [expired]
    Node 02beedf004dfd3d693bdcc97e10a15120a199c01 [2607:5300:201:3000::29cc]:4227 age -9221283624 [expired]
    Node 211c8ad7170fee0b70236454d43930d22a5a2bf8 [2607:fad8:4:6:453a:677d:8381:3d52]:4222 age -9221283624 [expired]
    Node 21bee66c122565d76b8989028cf103185a69b989 [2607:5300:201:3000::29cc]:4251 age -9221283624 [expired]
    Node 20737ba9ebc750cd306657cd1398ef0cf724aee0 [2607:fad8:0:1::3]:4240 age -9221283624 [expired]
    Node 2273f19ddb1cee3fb00a382359d33067f34d1427 [2607:fad8:0:1::]:4229 age -9221283624 [expired]
    Node 2220e7cabf0a80b7c802e1185da8b3860a2745ab [2607:fad8:0:1::]:4222 age -9221283624 [expired]
8000000000000000000000000000000000000000 count 0 age -9221283624 sec

