0000000000000000000000000000000000000000 count 5 age -9219704460 sec
    Node 04914ebe1dcd31ac69c8acde361e741abed5919b [2607:fad8:0:1::]:4245 age -9219704460 [expired]
    Node 09ca5f53b414d7292a2045ac4435279042e8bc73 [2607:fad8:0:1::3]:4247 age -9219704460 [expired]
    Node 0a5b0166503793a33a89fdaffa5405b0e910f734 [2001:41d0:303:67d2::]:4231 age -9219704460 [expired]
    Node 1217061146119f45ab76abc9e71eef495c962eb2 [2001:41d0:303:4814::]:41461 age -9219704460 [expired]
    Node 1d7e926fa6fdb3eeeae7cc760586db3dad934c79 [2607:fad8:0:1::]:4237 age -9219704460 [expired]
8000000000000000000000000000000000000000 count 4 age -9219704460 sec
    Node cb0f626b3817594038048e544fd1d4c67ef1fd67 [2607:5300:201:3000::29cc]:4241 age -9219704460 [expired]
    Node da568908d0466ffab03242fbdc2f35062c59dcb1 [2607:5300:201:3000::29cc]:4233 age -9219704460 [expired]
    Node e05541834fe63c1f1076049016dbaa9fbc6211b9 [2607:5300:201:3000::29cc]:4229 age -9219704460 [expired]
    Node e43b86d666dc581a0a3536f00ea4368cfd877339 [2607:5300:201:3000::29cc]:4240 age -9219704460 [expired]

