0000000000000000000000000000000000000000 count 8 age -9219834250 sec
    Node 4cadc8360b66b2d972edf0c6392627b96057ec3d [2600:1700:bf81:5470:8d46:f90a:f107:9d80]:6484 age -9219834250 [expired]
    Node 4c807e6e9b14b5aed4741025bd9c27ecd1e105be [2607:fad8:0:1::3]:4244 age -9219834250 [expired]
    Node 4a14cc2201754529f4ea1f416d1f507beae3ccde [2607:fad8:4:6:a819:7ae0:b379:d23d]:7928 age -9219834250
    Node 49526fc31ea6e174c5023d0e2ae3b96ccd1fe602 [2a01:e0a:18:8a90:f41d:e893:fdf1:a19d]:5388 age -9219834250 [expired]
    Node 48b1b31422d7a5e89c0eb78aff1109f4019af7c4 [2001:41d0:303:67d2::]:4223 age -9219834250 [expired]
    Node 47d9ef2359561816726c6fd9271cb703d9710a08 [2001:569:725d:af00:72b7:b84d:c599:d282]:6650 age -9219834250 [expired]
    Node 475aaae4168e8ee3fa8e141dcd47c69da99ab309 [2607:fad8:4:6::37]:4223 age -9219834250 [expired]
    Node 43ee6d168e84895e5446b41cbc20f095a7897c0e [2001:41d0:303:67d2::]:4227 age -9219834250 [expired]
8000000000000000000000000000000000000000 count 0 age -9219834250 sec

