0000000000000000000000000000000000000000 count 8 age -9221800524 sec
    Node 515c7aaf7904dfe96b75ce6dc60a356ac24f07cd [2001:41d0:303:67d2::]:4244 age -9221800524 [expired]
    Node 5c087c1c364c5f197183feab29777eb7fd29c152 [2001:16b8:1c5b:fd00:f862:f26:ff11:e742]:5294 age -9221800524 [expired]
    Node 5e90112da31bb863d4ac141ac23e1afc28757c6d [2607:fad8:0:1::]:4240 age -9221800524 [expired]
    Node 584a396a6b20a77becbc8ea5ba0934bbedfd923f [2607:fad8:4:6:a9e7:50a4:e62c:4e62]:5550 age -9221800524 [expired]
    Node 58ef923a64e021adce47bf5e50cc5f38193cac3d [2001:41d0:303:67d2::]:4226 age -9221800524 [expired]
    Node 58ca9e12380eadfec91af377c2cc1157102a6136 [2001:981:a72c:1:a4e1:b102:c3d3:e7c2]:5080 age -9221800524 [expired]
    Node 59a497ca936d39a20794f9583db8c826bd259a4f [2407:7000:8423:b00::3]:4568 age -9221800524 [expired]
    Node 5b0ce4e46003d5c70ae0712483347e0d36e09119 [2001:41d0:401:3100::2900]:4250 age -9221800524 [expired]
8000000000000000000000000000000000000000 count 0 age -9221800524 sec

