0000000000000000000000000000000000000000 count 8 age -9222709480 sec
    Node 23bcfca84d99608158f31e60358c93b1094bc8e5 [2001:984:2ab3:1:f67d:dc5b:7d0d:54a2]:8042 age -9222709480 [expired]
    Node 2220e7cabf0a80b7c802e1185da8b3860a2745ab [2607:fad8:0:1::]:4222 age -9222709480 [expired]
    Node 221bc3e063fb27016a7d7b1f8fd16b80c15f7abe [2001:41d0:303:4814::]:50737 age -9222709480 [expired]
    Node 2273f19ddb1cee3fb00a382359d33067f34d1427 [2607:fad8:0:1::]:4229 age -9222709480 [expired]
    Node 24034877a63ea717c9aa82c5a0dca3341a7c68e3 [2607:fad8:0:1::]:4234 age -9222709480 [expired]
    Node 2752340a6c285d17cd77ccce1f72f7a3612974ad [2607:fad8:0:1::3]:4227 age -9222709480 [expired]
    Node 27f2106c82ea2186258aa1bb159334de859ea4ab [2001:41d0:303:67d2::]:4248 age -9222709480 [expired]
    Node 27ddb57266c42c697dc452550b3630f8adb02e5e [2607:fad8:0:1::]:4241 age -9222709480 [expired]
8000000000000000000000000000000000000000 count 0 age -9222709480 sec

