0000000000000000000000000000000000000000 count 0 age -9219421911 sec
8000000000000000000000000000000000000000 count 8 age -9219421911 sec
    Node cb9d05b6abc0e996a157db3116a13e1c4b3cc166 [2001:41d0:303:4814::]:43154 age -9219421911 [expired]
    Node cbe23694efcd6e5d2c66bead5acc5aecdef1be76 [2001:0:53aa:64c:14ef:697f:e71f:36ff]:5196 age -9219421911 [expired]
    Node cc1c645c1f145d5b965ff8263305fb21c67c584c [2409:8a55:4c82:4d50:86ad:a614:d8b7:9e61]:6826 age -9219421911 [expired]
    Node ccdfda78c0d494b8ad6b9faebea42b56484d7021 [2a02:810b:1040:81ac:227:13ff:feb6:df39]:5020 age -9219421911 [expired]
    Node cd92c50b811beb2ad44a41e5449676e92c1a484c [2a03:3b40:268:0:4ecc:6aff:fed8:6075]:7376 age -9219421911 [expired]
    Node cdc78ea3260675f4e5811b27c96e432c2d957ece [2607:fad8:4:6::37]:4222 age -9219421911 [expired]
    Node cdce8482d14910950a1e6fe58ebfdee3c87932e8 [2607:fad8:0:1::]:4230 age -9219421911 [expired]
    Node cf2875ed67f109e814aab14efaae799fa3e71015 [2a00:23c6:f209:f500:f07a:f906:f0dc:428b]:5284 age -9219421911 [expired]

