0000000000000000000000000000000000000000 count 8 age -9219582455 sec
    Node 2d854ca0f70fa3275144589ffe272c49588d3dc1 [2607:5300:201:3000::29cc]:4242 age -9219582455 [expired]
    Node 2966220cf0fd9d071c00d44b207d99c6b929ae85 [2607:5300:201:3000::29cc]:4247 age -9219582455 [expired]
    Node 27ddb57266c42c697dc452550b3630f8adb02e5e [2607:fad8:0:1::]:4241 age -9219582455 [expired]
    Node 2752340a6c285d17cd77ccce1f72f7a3612974ad [2607:fad8:0:1::3]:4227 age -9219582455 [expired]
    Node 2273f19ddb1cee3fb00a382359d33067f34d1427 [2607:fad8:0:1::]:4229 age -9219582455 [expired]
    Node 20737ba9ebc750cd306657cd1398ef0cf724aee0 [2607:fad8:0:1::3]:4240 age -9219582455 [expired]
    Node 31c7ffe45283e47d2f0b3af7d9b322f131352dee [2607:5300:201:3000::29cc]:4241 age -9219582455 [expired]
    Node 310675f463fd432bae5848eb4a18b46e17ba3be3 [2a0c:f040:0:2790::4e]:6316 age -9219582455 [expired]
8000000000000000000000000000000000000000 count 0 age -9219582455 sec

