0000000000000000000000000000000000000000 count 8 age -9219630750 sec
    Node 09f5965f46bf423af8277a5300d8f2f68477abf8 [2a02:8108:8240:4291:78fb:85b4:8284:b892]:4316 age -9219630750 [expired]
    Node 0879ddba3f0baddcdb583499f2f34c3d0f6991f5 [2607:fad8:0:1::3]:4238 age -9219630750 [expired]
    Node 0f473b3ba76e034e01395590ef8afe12e01733fb [2001:41d0:303:4814::]:4223 age -9219630750 [expired]
    Node 02f6b4dcbdf52254451b7725317a7851b95517df [2001:41d0:403:3398::]:50569 age -9219630750 [expired]
    Node 09df59477d0a739a271e617cf1346004707c1c38 [2607:5300:201:3000::29cc]:4248 age -9219630750 [expired]
    Node 0a69a0cf22535cc7239dc4d37ec7fd1f82912fa0 [2001:41d0:303:4814::]:4252 age -9219630750 [expired]
    Node 0b7fb4343df5d0dd526be47ae9f90c7086d04a8d [2607:fad8:4:6:e43e:31b:f007:441e]:8634 age -9219630750 [expired]
    Node 0b4a029920bc1a8a22e9d82d9fae0cd9fc032b63 [2607:5300:201:3000::29cc]:4236 age -9219630750 [expired]
8000000000000000000000000000000000000000 count 0 age -9219630750 sec

