0000000000000000000000000000000000000000 count 8 age -9221229015 sec
    Node 000cfc267757c8bf890272378cb631fb1fc8d8bc [2607:fad8:0:1::]:4250 age -9221229015 [expired]
    Node 04914ebe1dcd31ac69c8acde361e741abed5919b [2607:fad8:0:1::]:4245 age -9221229015 [expired]
    Node 2273f19ddb1cee3fb00a382359d33067f34d1427 [2607:fad8:0:1::]:4229 age -9221229015 [expired]
    Node 2220e7cabf0a80b7c802e1185da8b3860a2745ab [2607:fad8:0:1::]:4222 age -9221229015 [expired]
    Node 20737ba9ebc750cd306657cd1398ef0cf724aee0 [2607:fad8:0:1::3]:4240 age -9221229015 [expired]
    Node 21bee66c122565d76b8989028cf103185a69b989 [2607:5300:201:3000::29cc]:4251 age -9221229015 [expired]
    Node 24034877a63ea717c9aa82c5a0dca3341a7c68e3 [2607:fad8:0:1::]:4234 age -9221229015 [expired]
    Node 257923cc81c5797421207be7d661ed79e7d7e22f [2a01:e0a:513:88e0:9144:8bf0:e4c4:ed1b]:6418 age -9221229015 [expired]
8000000000000000000000000000000000000000 count 8 age -9221229015 sec
    Node ec43b5c047c0a5d96f17f9b492145a8c6b1cf8a0 [2001:41d0:303:4814::]:33159 age -9221229015 [expired]
    Node f3173d6306a6867ffb4fde8c2c4b3b3f4e5f2f36 [2607:fad8:4:6:ca5b:76ff:fe9e:fd62]:5206 age -9221229015 [expired]
    Node da0b8cc92805ab66cc6ab69fd8ecef4cda40ae5b [2001:41d0:303:4814::]:45717 age -9221229015 [expired]
    Node d7978bdcfe8ca49ec1ed6cdb73cad02370a6ef4c [2001:41d0:303:4814::]:42880 age -9221229015 [expired]
    Node b0ffaecc0d02b6ae8c28e8b767de7f161d279672 [2001:41d0:303:4814::]:44983 age -9221229015 [expired]
    Node 83098ba2977b413ce69b5f722dbcd6e8c380c5d5 [2001:41d0:401:3100::2900]:4236 age -9221229015 [expired]
    Node 85322c2bf1fe89c07c51dbc8dd508f303375552e [2001:41d0:401:3100::2900]:4222 age -9221229015 [expired]
    Node 99d1b7e67877809a6edab3a5a84fc57e02b43600 [2001:16b8:3807:6100:629b:23bc:c946:7bdb]:6846 age -9221229015 [expired]

