0000000000000000000000000000000000000000 count 0 age -9223204796 sec
8000000000000000000000000000000000000000 count 8 age -9223204796 sec
    Node dbbdff858a1c542d3305258fa1fd42412f2c64f5 [2001:41d0:401:3100::2900]:4234 age -9223204796 [expired]
    Node de71224b8fb49e61abb68ea64711106b77374cb5 [2607:5300:201:3000::29cc]:4222 age -9223204796 [expired]
    Node deed8737f6d301f391baa4d5f4205742e093c9a3 [2001:41d0:303:4814::]:50553 age -9223204796 [expired]
    Node dfe047492a0df0f82eab1fd70ed7faf5954806d8 [2a01:e0a:19:fc00:f0cc:4351:6142:1531]:6934 age -9223204796 [expired]
    Node dd71877de4a4e0aea6b6aea4eec6f4ab8d9e5b8c [2001:569:fbbd:ab00:b0ac:aa9:1f6f:f351]:7966 age -9223204796 [expired]
    Node d3b4a3a501a294993b3c0ecd19e758f01ea68976 [2a02:1203:ecb9:f7d0:f2f6:c96c:e030:56c2]:8722 age -9223204796 [expired]
    Node d091d1db77eb1078b570cf5d8a99fd4e9c139cf1 [2607:fad8:0:1::]:4239 age -9223204796 [expired]
    Node d778ac56274e4cf04d94a1bbeb8b1258a1dda378 [2607:5300:201:3000::29cc]:4238 age -9223204796 [expired]

