0000000000000000000000000000000000000000 count 8 age -9223360925 sec
    Node 5440b16f2256c886c9d6ae04928afbbaf78a715c [2001:41d0:303:67d2::]:4238 age -9223360925 [expired]
    Node 50a37e58c63a25a9310fdee40328b1940ba1c970 [2607:fad8:0:1::]:4235 age -9223360925 [expired]
    Node 5e90112da31bb863d4ac141ac23e1afc28757c6d [2607:fad8:0:1::]:4240 age -9223360925 [expired]
    Node 5c48eea7d771097306d3efd676c28383d87c9b62 [2001:41d0:401:3100::2900]:4243 age -9223360925 [expired]
    Node 5bc8089a35cd49045753dfef2f7d70908424bd92 [2001:41d0:303:67d2::]:4229 age -9223360925 [expired]
    Node 5b9e5c61db11a5a69c8284ac21806e39d2334ccd [2001:41d0:401:3100::2900]:4251 age -9223360925 [expired]
    Node 58ef923a64e021adce47bf5e50cc5f38193cac3d [2001:41d0:303:67d2::]:4226 age -9223360925 [expired]
    Node 588424e32cec086d4b710e2cd6559553d76ffa31 [2001:41d0:303:4814::]:45672 age -9223360925 [expired]
8000000000000000000000000000000000000000 count 0 age -9223360925 sec

