0000000000000000000000000000000000000000 count 8 age -9219607357 sec
    Node 5415fa86f754feacf919abacf6b65a418753b0be [2607:5300:201:3000::29cd]:4233 age -9219607357 [expired]
    Node 5440b16f2256c886c9d6ae04928afbbaf78a715c [2001:41d0:303:67d2::]:4238 age -9219607357 [expired]
    Node 57696d76f90ea7e6d1354f314e68a7c2a9649fd3 [2a01:e0a:192:3bb0:151:bc4c:35c2:4848]:4320 age -9219607357 [expired]
    Node 560125f4de8f3a85407e645aa1a3f2eabbae1382 [2001:41d0:401:3100::2900]:4235 age -9219607357 [expired]
    Node 515c7aaf7904dfe96b75ce6dc60a356ac24f07cd [2001:41d0:303:67d2::]:4244 age -9219607357 [expired]
    Node 50a37e58c63a25a9310fdee40328b1940ba1c970 [2607:fad8:0:1::]:4235 age -9219607357
    Node 52946f63546bba9cc562cb53a0e71378dd7cfb8f [2a01:cb19:956:1b00:f833:fe1f:8665:53db]:6318 age -9219607357 [expired]
    Node 52104564638dcfe954ba3e905135293af35b4b4a [2603:9000:cf15:bc00:54e6:6cca:a0b:156d]:8144 age -9219607357 [expired]
8000000000000000000000000000000000000000 count 1 age -9219607357 sec
    Node f5ae0eb3b54ca57d4964194cd6c347c60eda95bc [2a01:e34:ee0b:e2e0:bd72:3ed2:d59:8202]:4480 age -9219607357 [expired]

